current,integration time,gain,UVA,UVB,UVC
2,2,4096,162,123,4370
2,2,4096,163,123,4375
2,2,4096,163,123,4376
2,2,4096,163,123,4376
2,2,4096,163,123,4376
2,2,4096,163,123,4378
2,2,4096,163,123,4375
2,2,4096,163,123,4377
2,2,4096,163,123,4376
2,2,4096,163,123,4376
2,2,4096,163,123,4380
2,2,4096,163,123,4379
2,2,4096,163,123,4378
2,2,4096,163,123,4379
2,2,4096,163,123,4378
2,2,4096,163,123,4378
2,2,4096,163,123,4377
2,2,4096,163,123,4377
2,2,4096,163,123,4377
2,2,4096,163,123,4379
4,1,4096,145,104,4289
4,1,4096,144,103,4299
4,1,4096,144,103,4309
4,1,4096,144,102,4317
4,1,4096,143,102,4323
4,1,4096,143,102,4329
4,1,4096,143,101,4334
4,1,4096,143,101,4338
4,1,4096,143,101,4342
4,1,4096,142,101,4345
4,1,4096,142,101,4347
4,1,4096,142,101,4350
4,1,4096,142,100,4352
4,1,4096,142,100,4354
4,1,4096,142,100,4355
4,1,4096,142,100,4356
4,1,4096,142,100,4358
4,1,4096,142,100,4360
4,1,4096,142,100,4361
4,1,4096,142,100,4361
6,1,2048,94,64,2944
6,1,2048,94,64,2946
6,1,2048,94,64,2947
6,1,2048,94,64,2948
6,1,2048,94,64,2948
6,1,2048,94,63,2949
6,1,2048,93,63,2949
6,1,2048,93,63,2949
6,1,2048,93,63,2949
6,1,2048,93,63,2950
6,1,2048,93,63,2950
6,1,2048,93,63,2950
6,1,2048,93,63,2950
6,1,2048,93,63,2950
6,1,2048,93,63,2949
6,1,2048,93,63,2949
6,1,2048,93,63,2948
6,1,2048,93,63,2947
6,1,2048,93,63,2946
6,1,2048,93,63,2945
8,1,2048,115,76,3541
8,1,2048,114,75,3541
8,1,2048,114,75,3540
8,1,2048,113,75,3539
8,1,2048,113,74,3537
8,1,2048,113,74,3536
8,1,2048,113,74,3535
8,1,2048,113,74,3535
8,1,2048,113,74,3534
8,1,2048,113,73,3533
8,1,2048,112,73,3533
8,1,2048,112,73,3533
8,1,2048,112,73,3532
8,1,2048,112,73,3533
8,1,2048,112,73,3533
8,1,2048,112,73,3532
8,1,2048,112,73,3533
8,1,2048,112,73,3532
8,1,2048,112,73,3531
8,1,2048,112,73,3530
