Wavelength;Total irradiance - 5%;Total irradiance - 10%;Total irradiance - 30%;Total irradiance - 50%;Total irradiance - 90%;Total irradiance - 100%
380;0,006588876;0,006719863;0,007813183;0,009039666;0,010348185;0,010232947
390;0,008163486;0,009303783;0,016364702;0,023788272;0,036560892;0,037620534
400;0,009893407;0,013768222;0,02819603;0,04310292;0,069585684;0,073531433
410;0,011696937;0,01707857;0,037812058;0,062410895;0,102053343;0,10603533
420;0,013006161;0,019702481;0,04767638;0,076761136;0,127155137;0,13126406
430;0,013609144;0,020985419;0,050825927;0,082764151;0,1344942;0,141029112
440;0,013764414;0,020335473;0,050398793;0,080799651;0,132208189;0,136216385
450;0,013577797;0,02032632;0,04916303;0,078997693;0,12856383;0,131139752
460;0,013460905;0,020864173;0,050367813;0,079349638;0,130351698;0,132917183
470;0,016656677;0,024918186;0,067822137;0,107390026;0,171311673;0,175776707
480;0,016439535;0,026936791;0,068637166;0,113792322;0,181204272;0,186364224
490;0,017881836;0,029812398;0,076843591;0,127640257;0,204792181;0,209349331
500;0,017995624;0,029562097;0,08064061;0,13339569;0,216148813;0,219281835
510;0,019884899;0,03360061;0,08733934;0,144975313;0,230454447;0,237083955
520;0,020087078;0,033708372;0,089241322;0,151283689;0,240775681;0,245011947
530;0,020999077;0,035119152;0,093930079;0,156971107;0,250558574;0,25785471
540;0,02134193;0,037465079;0,10206686;0,170484955;0,269736757;0,278588337
550;0,021422121;0,03652651;0,101525566;0,170888767;0,272218096;0,274142108
560;0,021910638;0,037658914;0,100394055;0,165360913;0,268315296;0,2699553
570;0,021422534;0,037156074;0,098822059;0,162984037;0,264802778;0,273081093
580;0,020730913;0,03644691;0,097945325;0,161365758;0,259211549;0,264940616
590;0,021617436;0,035856761;0,097819074;0,162855895;0,266073263;0,266883944
600;0,021329101;0,039025017;0,103822933;0,166936569;0,273720742;0,281600443
610;0,022827996;0,038974929;0,104438186;0,167708512;0,271995196;0,281801129
620;0,022438393;0,038775794;0,100328647;0,166099119;0,266678587;0,270448376
630;0,02118539;0,036424899;0,096711607;0,157997768;0,259618753;0,261326343
640;0,020547496;0,034332273;0,095917897;0,162208344;0,25760974;0,262448854
650;0,02163927;0,034542972;0,09348523;0,153690198;0,250189745;0,258955173
660;0,019892116;0,032809922;0,085051527;0,144439955;0,2379984;0,242658352
670;0,018012262;0,029647096;0,080596398;0,134513276;0,217747584;0,231500912
680;0,018474016;0,029910569;0,078224632;0,13026221;0,215433672;0,221004725
690;0,017423516;0,029240994;0,075060519;0,124533637;0,205336755;0,212057527
700;0,016233583;0,026941289;0,067817559;0,113107903;0,184123524;0,189616094
710;0,015663656;0,024317716;0,063285222;0,105379145;0,169296812;0,171413766
720;0,014827455;0,023161137;0,058515983;0,091042816;0,149949025;0,151401145
730;0,01494788;0,021507407;0,052776854;0,087180248;0,135436881;0,138990508
740;0,012302621;0,019096872;0,045480198;0,071437622;0,111766519;0,114718215
750;0,011943189;0,017009648;0,039376196;0,059610076;0,09416707;0,09601711
760;0,011068983;0,016228773;0,036023374;0,056197287;0,087329676;0,088229577
770;0,009891905;0,012420509;0,023849533;0,035239368;0,049422289;0,04986086
780;0,007006519;0,007328458;0,010056692;0,012068115;0,014870866;0,014357129
